id,name,calorie,sugar,lipid,salt,image,,,
1,バター香る　たらこスパゲティ,447,66.4,13.0,4.2,,,,
2,洋食屋のナポリタン,478,75.2,12.6,4.6,,,,
3,濃厚トマトソースのボンゴレ・ロッソ,453,69.8,11.7,3.9,,,,
4,石臼挽き蕎麦粉のざるそば,332,66.9,1.5,2,,,,
5,とろろを味わう冷しぶっかけそば,301,61.0,1.8,1.8,,,,
6,すみれ監修にんにく唐玉味噌ラーメン,588,64.7,27.7,7.6,,,,
7,半熟玉子をのせた大盛りソース焼そば,709,123.2,15.5,8.6,,,,
8,６種具材を楽しむミニ冷し中華（マヨ付）,420,51.0,18.1,3.3,,,,
9,たっぷり海老のビスクソース,232,36.5,4.5,2.3,,,,
10,グリル野菜とベーコンのアラビアータ,310,43.0,11.3,2.5,,,,
11,ミニかき揚げそば,267,36.6,8.8,2.6,,,,
12,とろろを味わう冷しぶっかけそば,301,61.0,1.8,1.8
13,海老と野菜の香ばし焼ビーフン,336,45.9,13.6,3.1
14,９種具材の具沢山上海焼そば,494,72.5,17.2,4.8
15,
16,１／２日分の野菜！香ばし炒め野菜の中華丼,509,84.8,14.0,4.4,,,,
17,１／２日分の野菜！７種野菜の焼肉ビビンバ,491,82.4,13.1,3.6,,,,
18,チキンと７種野菜のスープカレー（赤米入り）,405,74.3,5.8,4.9,,,,
19,熟成つゆが決め手　特製牛めし,664,82.6,30.0,2.2,,,,
20,コク旨特製牛丼,695,89.3,29.8,2.3,,,,
21,たんぱく質が摂れるグリルチキン弁当　玄米入,460,43.8,12.1,2.9,,,,
22,レモン塩だれのねぎ豚カルビ弁当（麦飯）,564,83.7,20.2,1.8,,,,
23,きのこ御飯の幕の内,533,75.6,16.5,3.9,,,,
24,一膳ごはん　銀鮭とかつおめし,410,64.3,10.0,2.3,,,,
25,一番だしで炊いたしらすご飯,292,63.6,0.8,2.7,,,,
26,1食分の野菜が摂れる中華丼,440,
27,Choi　タコライス,425,
28,西京仕立の豚みそ焼弁当,447,
29,ミニ鶏そぼろごはん,408,
30,ミニ明太しらすご飯,304,
31,1/2日分野菜が摂れるキャベツ包み焼,255,
32,こんがり焼いたえびグラタン,
33,四川風麻婆丼,585,
34,ふわとろたまオムライス,596,
35,
36,Choi　ポポラマーマ監修　レッカル！〜レッドカルボナーラ〜(ピリ辛トマト),355,
37,エリンギと明太子のバター醤油パスタ,526,
38,つぶっつぶ！たらこ！たらこ！,537,
39,完熟トマトの旨味！ナポリタン,548,
40,牛肉うどん,386,
41,Choi　あさりの貝だしらーめん,251,
42,Choi　生姜醤油ラーメン,326,
43,Choi　鶏ゆずまぜそば,336,
44,1/2日分の野菜が摂れる焼ビーフン,273,
45,チーズ！チーズ！カルボ！,536
